start,end,day_count
2020-07-11T00:00:00.000Z,2020-07-12T00:00:00.000Z,18502
2020-07-12T00:00:00.000Z,2020-07-13T00:00:00.000Z,21186
2020-07-13T00:00:00.000Z,2020-07-14T00:00:00.000Z,22313
2020-07-14T00:00:00.000Z,2020-07-15T00:00:00.000Z,20883
2020-07-15T00:00:00.000Z,2020-07-16T00:00:00.000Z,23138
2020-07-16T00:00:00.000Z,2020-07-17T00:00:00.000Z,21408
2020-07-17T00:00:00.000Z,2020-07-18T00:00:00.000Z,21114
2020-07-18T00:00:00.000Z,2020-07-19T00:00:00.000Z,22537
2020-07-19T00:00:00.000Z,2020-07-20T00:00:00.000Z,19028
2020-07-20T00:00:00.000Z,2020-07-21T00:00:00.000Z,19443
2020-07-21T00:00:00.000Z,2020-07-22T00:00:00.000Z,21652
2020-07-22T00:00:00.000Z,2020-07-23T00:00:00.000Z,21007
2020-07-23T00:00:00.000Z,2020-07-24T00:00:00.000Z,22734
2020-07-24T00:00:00.000Z,2020-07-25T00:00:00.000Z,22657
2020-07-25T00:00:00.000Z,2020-07-26T00:00:00.000Z,24101
2020-07-26T00:00:00.000Z,2020-07-27T00:00:00.000Z,23151
2020-07-27T00:00:00.000Z,2020-07-28T00:00:00.000Z,21485
2020-07-28T00:00:00.000Z,2020-07-29T00:00:00.000Z,21055
2020-06-02T00:00:00.000Z,2020-06-03T00:00:00.000Z,523451
2020-06-03T00:00:00.000Z,2020-06-04T00:00:00.000Z,341325
2020-06-04T00:00:00.000Z,2020-06-05T00:00:00.000Z,321372
2020-06-05T00:00:00.000Z,2020-06-06T00:00:00.000Z,265085
2020-06-06T00:00:00.000Z,2020-06-07T00:00:00.000Z,225629
2020-06-07T00:00:00.000Z,2020-06-08T00:00:00.000Z,189146
2020-06-08T00:00:00.000Z,2020-06-09T00:00:00.000Z,178438
2020-06-09T00:00:00.000Z,2020-06-10T00:00:00.000Z,136489
2020-06-10T00:00:00.000Z,2020-06-11T00:00:00.000Z,115194
2020-06-11T00:00:00.000Z,2020-06-12T00:00:00.000Z,103642
2020-06-12T00:00:00.000Z,2020-06-13T00:00:00.000Z,101171
2020-06-13T00:00:00.000Z,2020-06-14T00:00:00.000Z,99969
2020-06-14T00:00:00.000Z,2020-06-15T00:00:00.000Z,88146
2020-06-15T00:00:00.000Z,2020-06-16T00:00:00.000Z,77951
2020-06-16T00:00:00.000Z,2020-06-17T00:00:00.000Z,61834
2020-06-17T00:00:00.000Z,2020-06-18T00:00:00.000Z,64799
2020-06-18T00:00:00.000Z,2020-06-19T00:00:00.000Z,65593
2020-06-19T00:00:00.000Z,2020-06-20T00:00:00.000Z,80381
2020-06-20T00:00:00.000Z,2020-06-21T00:00:00.000Z,57965
2020-06-21T00:00:00.000Z,2020-06-22T00:00:00.000Z,45691
2020-06-22T00:00:00.000Z,2020-06-23T00:00:00.000Z,49971
2020-06-23T00:00:00.000Z,2020-06-24T00:00:00.000Z,51726
2020-06-24T00:00:00.000Z,2020-06-25T00:00:00.000Z,43123
2020-06-25T00:00:00.000Z,2020-06-26T00:00:00.000Z,48860
2020-06-26T00:00:00.000Z,2020-06-27T00:00:00.000Z,40356
2020-06-27T00:00:00.000Z,2020-06-28T00:00:00.000Z,36385
2020-05-25T00:00:00.000Z,2020-05-26T00:00:00.000Z,720
2020-05-26T00:00:00.000Z,2020-05-27T00:00:00.000Z,30475
2020-05-27T00:00:00.000Z,2020-05-28T00:00:00.000Z,168886
2020-05-28T00:00:00.000Z,2020-05-29T00:00:00.000Z,599474
2020-05-29T00:00:00.000Z,2020-05-30T00:00:00.000Z,409077
2020-05-30T00:00:00.000Z,2020-05-31T00:00:00.000Z,360725
2020-05-31T00:00:00.000Z,2020-06-01T00:00:00.000Z,445877
2020-06-01T00:00:00.000Z,2020-06-02T00:00:00.000Z,480016
